checking_balance,months_loan_duration,credit_history,purpose_of_loan,amount,savings_balance_(ex real estate),employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credit_facilities,default(1=no),dependents,landline,foreign_worker,job
< $0,6,critical,electronics/home entertainment,1169,unknown,> 7 yrs,4,single male,none,4,real estate,67,none,own,2,1,1,yes,yes,skilled employee
$1 - $1000,48,repaid,electronics/home entertainment,5951,< $500,1 - 4 yrs,2,female,none,2,real estate,22,none,own,1,2,1,none,yes,skilled employee
unknown,12,critical,education,2096,< $500,4 - 7 yrs,2,single male,none,3,real estate,49,none,own,1,1,2,none,yes,unskilled resident
< $0,42,repaid,furniture,7882,< $500,4 - 7 yrs,2,single male,guarantor,4,building society savings,45,none,for free,1,1,2,none,yes,skilled employee
< $0,24,delayed,new vehicle,4870,< $500,1 - 4 yrs,3,single male,none,4,unknown,53,none,for free,2,2,2,none,yes,skilled employee
unknown,36,repaid,education,9055,unknown,1 - 4 yrs,2,single male,none,4,unknown,35,none,for free,1,1,2,yes,yes,unskilled resident
unknown,24,repaid,furniture,2835,$501 - $1000,> 7 yrs,3,single male,none,4,building society savings,53,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,36,repaid,used vehicle,6948,< $500,1 - 4 yrs,2,single male,none,2,other,35,none,rent,1,1,1,yes,yes,mangement self-employed
unknown,12,repaid,electronics/home entertainment,3059,> $2000,4 - 7 yrs,2,divorced male,none,4,real estate,61,none,own,1,1,1,none,yes,unskilled resident
$1 - $1000,30,critical,new vehicle,5234,< $500,unemployed,4,married male,none,2,other,28,none,own,2,2,1,none,yes,mangement self-employed
$1 - $1000,12,repaid,new vehicle,1295,< $500,0 - 1 yrs,3,female,none,1,other,25,none,rent,1,2,1,none,yes,skilled employee
< $0,48,repaid,business,4308,< $500,0 - 1 yrs,3,female,none,4,building society savings,24,none,rent,1,2,1,none,yes,skilled employee
$1 - $1000,12,repaid,electronics/home entertainment,1567,< $500,1 - 4 yrs,1,female,none,1,other,22,none,own,1,1,1,yes,yes,skilled employee
< $0,24,critical,new vehicle,1199,< $500,> 7 yrs,4,single male,none,4,other,60,none,own,2,2,1,none,yes,unskilled resident
< $0,15,repaid,new vehicle,1403,< $500,1 - 4 yrs,2,female,none,4,other,28,none,rent,1,1,1,none,yes,skilled employee
< $0,24,repaid,electronics/home entertainment,1282,$1001 - $2000,1 - 4 yrs,4,female,none,2,other,32,none,own,1,2,1,none,yes,unskilled resident
unknown,24,critical,electronics/home entertainment,2424,unknown,> 7 yrs,4,single male,none,4,building society savings,53,none,own,2,1,1,none,yes,skilled employee
< $0,30,fully repaid,business,8072,unknown,0 - 1 yrs,2,single male,none,3,other,25,bank,own,3,1,1,none,yes,skilled employee
$1 - $1000,24,repaid,used vehicle,12579,< $500,> 7 yrs,4,female,none,2,unknown,44,none,for free,1,2,1,yes,yes,mangement self-employed
unknown,24,repaid,electronics/home entertainment,3430,$501 - $1000,> 7 yrs,3,single male,none,2,other,31,none,own,1,1,2,yes,yes,skilled employee
unknown,9,critical,new vehicle,2134,< $500,1 - 4 yrs,4,single male,none,4,other,48,none,own,3,1,1,yes,yes,skilled employee
< $0,6,repaid,electronics/home entertainment,2647,$501 - $1000,1 - 4 yrs,2,single male,none,3,real estate,44,none,rent,1,1,2,none,yes,skilled employee
< $0,10,critical,new vehicle,2241,< $500,0 - 1 yrs,1,single male,none,3,real estate,48,none,rent,2,1,2,none,no,unskilled resident
$1 - $1000,12,critical,used vehicle,1804,$1001 - $2000,0 - 1 yrs,3,single male,none,4,building society savings,44,none,own,1,1,1,none,yes,skilled employee
unknown,10,critical,furniture,2069,unknown,1 - 4 yrs,2,married male,none,1,other,26,none,own,2,1,1,none,no,skilled employee
< $0,6,repaid,furniture,1374,< $500,1 - 4 yrs,1,single male,none,2,real estate,36,bank,own,1,1,1,yes,yes,unskilled resident
unknown,6,fully repaid,electronics/home entertainment,426,< $500,> 7 yrs,4,married male,none,4,other,39,none,own,1,1,1,none,yes,unskilled resident
> $1000,12,fully repaid this bank,electronics/home entertainment,409,> $2000,1 - 4 yrs,3,female,none,3,real estate,42,none,rent,2,1,1,none,yes,skilled employee
$1 - $1000,7,repaid,electronics/home entertainment,2415,< $500,1 - 4 yrs,3,single male,guarantor,2,real estate,34,none,own,1,1,1,none,yes,skilled employee
< $0,60,delayed,business,6836,< $500,> 7 yrs,3,single male,none,4,unknown,63,none,own,2,2,1,yes,yes,skilled employee
$1 - $1000,18,repaid,business,1913,> $2000,0 - 1 yrs,3,married male,none,3,real estate,36,bank,own,1,1,1,yes,yes,skilled employee
< $0,24,repaid,furniture,4020,< $500,1 - 4 yrs,2,single male,none,2,other,27,stores,own,1,1,1,none,yes,skilled employee
$1 - $1000,18,repaid,new vehicle,5866,$1001 - $2000,1 - 4 yrs,2,single male,none,2,other,30,none,own,2,1,1,yes,yes,skilled employee
unknown,12,critical,business,1264,unknown,> 7 yrs,4,single male,none,4,unknown,57,none,rent,1,1,1,none,yes,unskilled resident
> $1000,12,repaid,furniture,1474,< $500,0 - 1 yrs,4,female,none,1,building society savings,33,bank,own,1,1,1,yes,yes,mangement self-employed
$1 - $1000,45,critical,electronics/home entertainment,4746,< $500,0 - 1 yrs,4,single male,none,2,building society savings,25,none,own,2,2,1,none,yes,unskilled resident
unknown,48,critical,education,6110,< $500,1 - 4 yrs,1,single male,none,3,unknown,31,bank,for free,1,1,1,yes,yes,skilled employee
> $1000,18,repaid,electronics/home entertainment,2100,< $500,1 - 4 yrs,4,single male,co-applicant,2,real estate,37,stores,own,1,2,1,none,yes,skilled employee
> $1000,10,repaid,domestic appliances,1225,< $500,1 - 4 yrs,2,single male,none,2,other,37,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,9,repaid,electronics/home entertainment,458,< $500,1 - 4 yrs,4,single male,none,3,real estate,24,none,own,1,1,1,none,yes,skilled employee
unknown,30,repaid,electronics/home entertainment,2333,$501 - $1000,> 7 yrs,4,single male,none,2,other,30,bank,own,1,1,1,none,yes,mangement self-employed
$1 - $1000,12,repaid,electronics/home entertainment,1158,$501 - $1000,1 - 4 yrs,3,divorced male,none,1,other,26,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,18,delayed,repairs,6204,< $500,1 - 4 yrs,2,single male,none,4,real estate,44,none,own,1,1,2,yes,yes,unskilled resident
< $0,30,critical,used vehicle,6187,$1001 - $2000,4 - 7 yrs,1,married male,none,4,other,24,none,rent,2,1,1,none,yes,skilled employee
< $0,48,critical,used vehicle,6143,< $500,> 7 yrs,4,female,none,4,unknown,58,stores,for free,2,2,1,none,yes,unskilled resident
unknown,11,critical,new vehicle,1393,< $500,0 - 1 yrs,4,female,none,4,other,35,none,own,2,1,1,none,yes,mangement self-employed
unknown,36,repaid,electronics/home entertainment,2299,$501 - $1000,> 7 yrs,4,single male,none,4,other,39,none,own,1,1,1,none,yes,skilled employee
< $0,6,repaid,used vehicle,1352,$501 - $1000,unemployed,1,female,none,2,building society savings,23,none,rent,1,1,1,yes,yes,unemployed non-resident
unknown,11,critical,new vehicle,7228,< $500,1 - 4 yrs,1,single male,none,4,building society savings,39,none,own,2,1,1,none,yes,unskilled resident
unknown,12,repaid,electronics/home entertainment,2073,$1001 - $2000,1 - 4 yrs,4,female,co-applicant,2,real estate,28,none,own,1,1,1,none,yes,skilled employee
$1 - $1000,24,delayed,furniture,2333,unknown,0 - 1 yrs,4,single male,none,2,building society savings,29,bank,own,1,1,1,none,yes,unskilled resident
$1 - $1000,27,delayed,used vehicle,5965,< $500,> 7 yrs,1,single male,none,2,other,30,none,own,2,1,1,yes,yes,mangement self-employed
unknown,12,repaid,electronics/home entertainment,1262,< $500,1 - 4 yrs,3,single male,none,2,other,25,none,own,1,1,1,none,yes,skilled employee
unknown,18,repaid,used vehicle,3378,unknown,1 - 4 yrs,2,single male,none,1,building society savings,31,none,own,1,1,1,yes,yes,skilled employee
$1 - $1000,36,delayed,new vehicle,2225,< $500,> 7 yrs,4,single male,none,4,unknown,57,bank,for free,2,2,1,yes,yes,skilled employee
unknown,6,fully repaid this bank,new vehicle,783,unknown,1 - 4 yrs,1,single male,guarantor,2,real estate,26,stores,own,1,1,2,none,yes,unskilled resident
$1 - $1000,12,repaid,electronics/home entertainment,6468,unknown,unemployed,2,single male,none,1,unknown,52,none,own,1,2,1,yes,yes,mangement self-employed
unknown,36,critical,electronics/home entertainment,9566,< $500,1 - 4 yrs,2,female,none,2,other,31,stores,own,2,1,1,none,yes,skilled employee
> $1000,18,repaid,new vehicle,1961,< $500,> 7 yrs,3,female,none,2,other,23,none,own,1,1,1,none,yes,mangement self-employed
< $0,36,critical,furniture,6229,< $500,0 - 1 yrs,4,female,co-applicant,4,unknown,23,none,rent,2,2,1,yes,yes,unskilled resident
$1 - $1000,9,repaid,business,1391,< $500,1 - 4 yrs,2,married male,none,1,real estate,27,bank,own,1,1,1,yes,yes,skilled employee
$1 - $1000,15,critical,electronics/home entertainment,1537,unknown,> 7 yrs,4,single male,guarantor,4,real estate,50,none,own,2,1,1,yes,yes,skilled employee
$1 - $1000,36,fully repaid,business,1953,< $500,> 7 yrs,4,single male,none,4,unknown,61,none,for free,1,2,1,yes,yes,mangement self-employed
$1 - $1000,48,fully repaid,business,14421,< $500,1 - 4 yrs,2,single male,none,2,other,25,none,own,1,2,1,yes,yes,skilled employee
unknown,24,repaid,electronics/home entertainment,3181,< $500,0 - 1 yrs,4,female,none,4,building society savings,26,none,own,1,1,1,yes,yes,skilled employee
unknown,27,repaid,repairs,5190,unknown,> 7 yrs,4,single male,none,4,building society savings,48,none,own,4,1,2,yes,yes,skilled employee
unknown,12,repaid,electronics/home entertainment,2171,< $500,0 - 1 yrs,2,female,none,2,other,29,bank,own,1,1,1,none,yes,skilled employee
$1 - $1000,12,repaid,new vehicle,1007,> $2000,1 - 4 yrs,4,married male,none,1,real estate,22,none,own,1,1,1,none,yes,skilled employee
unknown,36,repaid,education,1819,< $500,1 - 4 yrs,4,single male,none,4,unknown,37,stores,for free,1,2,1,yes,yes,skilled employee
unknown,36,repaid,electronics/home entertainment,2394,unknown,1 - 4 yrs,4,female,none,4,other,25,none,own,1,1,1,none,yes,skilled employee
unknown,36,repaid,used vehicle,8133,< $500,1 - 4 yrs,1,female,none,2,building society savings,30,bank,own,1,1,1,none,yes,skilled employee
unknown,7,critical,electronics/home entertainment,730,unknown,> 7 yrs,4,single male,none,2,building society savings,46,none,rent,2,1,1,yes,yes,unskilled resident
< $0,8,critical,others,1164,< $500,> 7 yrs,3,single male,none,4,unknown,51,bank,for free,2,1,2,yes,yes,mangement self-employed
$1 - $1000,42,critical,business,5954,< $500,4 - 7 yrs,2,female,none,1,real estate,41,bank,own,2,1,1,none,yes,unskilled resident
< $0,36,repaid,education,1977,unknown,> 7 yrs,4,single male,none,4,unknown,40,none,own,1,2,1,yes,yes,mangement self-employed
< $0,12,critical,used vehicle,1526,< $500,> 7 yrs,4,single male,none,4,unknown,66,none,for free,2,1,1,none,yes,mangement self-employed
< $0,42,repaid,electronics/home entertainment,3965,< $500,0 - 1 yrs,4,single male,none,3,other,34,none,own,1,2,1,none,yes,skilled employee
$1 - $1000,11,delayed,electronics/home entertainment,4771,< $500,4 - 7 yrs,2,single male,none,4,building society savings,51,none,own,1,1,1,none,yes,skilled employee
unknown,54,fully repaid,used vehicle,9436,unknown,1 - 4 yrs,2,single male,none,2,building society savings,39,none,own,1,1,2,none,yes,unskilled resident
$1 - $1000,30,repaid,furniture,3832,< $500,0 - 1 yrs,2,married male,none,1,building society savings,22,none,own,1,1,1,none,yes,skilled employee
unknown,24,repaid,electronics/home entertainment,5943,unknown,0 - 1 yrs,1,female,none,1,other,44,none,own,2,2,1,yes,yes,skilled employee
unknown,15,repaid,electronics/home entertainment,1213,$501 - $1000,> 7 yrs,4,single male,none,3,building society savings,47,stores,own,1,1,1,yes,yes,skilled employee
unknown,18,repaid,business,1568,$1001 - $2000,1 - 4 yrs,3,female,none,4,building society savings,24,none,rent,1,1,1,none,yes,unskilled resident
< $0,24,repaid,others,1755,< $500,> 7 yrs,4,female,guarantor,4,real estate,58,none,own,1,1,1,yes,yes,unskilled resident
< $0,10,repaid,electronics/home entertainment,2315,< $500,> 7 yrs,3,single male,none,4,real estate,52,none,own,1,1,1,none,yes,unskilled resident
unknown,12,critical,business,1412,< $500,1 - 4 yrs,4,female,guarantor,2,real estate,29,none,own,2,1,1,yes,yes,mangement self-employed
$1 - $1000,18,critical,furniture,1295,< $500,0 - 1 yrs,4,female,none,1,building society savings,27,none,own,2,1,1,none,yes,skilled employee
$1 - $1000,36,repaid,education,12612,$1001 - $2000,1 - 4 yrs,1,single male,none,4,unknown,47,none,for free,1,2,2,yes,yes,skilled employee
< $0,18,repaid,new vehicle,2249,$1001 - $2000,4 - 7 yrs,4,single male,none,3,other,30,none,own,1,1,2,yes,yes,mangement self-employed
< $0,12,fully repaid,repairs,1108,< $500,4 - 7 yrs,4,single male,none,3,real estate,28,none,own,2,2,1,none,yes,skilled employee
